Territorio;Medida;Valor;
Andalucía;Número de farmacias;3872;
Andalucía;Habitantes por farmacia;2229,303202479339;
Almería;Número de farmacias;327;
Almería;Habitantes por farmacia;2327,1070336391435;
Abla;Número de farmacias;1;
Abla;Habitantes por farmacia;1277;
Abrucena;Número de farmacias;1;
Abrucena;Habitantes por farmacia;1234;
Adra;Número de farmacias;8;
Adra;Habitantes por farmacia;3179;
Albanchez;Número de farmacias;1;
Albanchez;Habitantes por farmacia;681;
Alboloduy;Número de farmacias;1;
Alboloduy;Habitantes por farmacia;583;
Albox;Número de farmacias;4;
Albox;Habitantes por farmacia;3127,5;
Alcolea;Número de farmacias;1;
Alcolea;Habitantes por farmacia;831;
Alcóntar;Número de farmacias;1;
Alcóntar;Habitantes por farmacia;556;
Alcudia de Monteagud;Número de farmacias;-;
Alcudia de Monteagud;Habitantes por farmacia;-;
Alhabia;Número de farmacias;1;
Alhabia;Habitantes por farmacia;732;
Alhama de Almería;Número de farmacias;1;
Alhama de Almería;Habitantes por farmacia;3904;
Alicún;Número de farmacias;1;
Alicún;Habitantes por farmacia;214;
Almería (capital);Número de farmacias;99;
Almería (capital);Habitantes por farmacia;2039,858585858586;
Almócita;Número de farmacias;1;
Almócita;Habitantes por farmacia;213;
Alsodux;Número de farmacias;1;
Alsodux;Habitantes por farmacia;137;
Antas;Número de farmacias;1;
Antas;Habitantes por farmacia;3439;
Arboleas;Número de farmacias;1;
Arboleas;Habitantes por farmacia;4296;
Armuña de Almanzora;Número de farmacias;1;
Armuña de Almanzora;Habitantes por farmacia;330;
Bacares;Número de farmacias;1;
Bacares;Habitantes por farmacia;239;
Balanegra;Número de farmacias;1;
Balanegra;Habitantes por farmacia;3027;
Bayárcal;Número de farmacias;1;
Bayárcal;Habitantes por farmacia;300;
Bayarque;Número de farmacias;1;
Bayarque;Habitantes por farmacia;223;
Bédar;Número de farmacias;1;
Bédar;Habitantes por farmacia;976;
Beires;Número de farmacias;-;
Beires;Habitantes por farmacia;-;
Benahadux;Número de farmacias;1;
Benahadux;Habitantes por farmacia;4815;
Benitagla;Número de farmacias;-;
Benitagla;Habitantes por farmacia;-;
Benizalón;Número de farmacias;1;
Benizalón;Habitantes por farmacia;250;
Bentarique;Número de farmacias;1;
Bentarique;Habitantes por farmacia;228;
Berja;Número de farmacias;7;
Berja;Habitantes por farmacia;1840,5714285714287;
Canjáyar;Número de farmacias;1;
Canjáyar;Habitantes por farmacia;1130;
Cantoria;Número de farmacias;2;
Cantoria;Habitantes por farmacia;1784;
Carboneras;Número de farmacias;3;
