Territorio;Edad;Medida;Sexo;Valor;
Andalucía;De 0 a 4 años;Inmigraciones ;Hombres;10844;
Andalucía;De 0 a 4 años;Inmigraciones ;Mujeres;10372;
Andalucía;De 5 a 9 años;Inmigraciones ;Hombres;10123;
Andalucía;De 5 a 9 años;Inmigraciones ;Mujeres;9520;
Andalucía;De 10 a 14 años;Inmigraciones ;Hombres;9921;
Andalucía;De 10 a 14 años;Inmigraciones ;Mujeres;9445;
Andalucía;De 15 a 19 años;Inmigraciones ;Hombres;11102;
Andalucía;De 15 a 19 años;Inmigraciones ;Mujeres;10264;
Andalucía;De 20 a 24 años;Inmigraciones ;Hombres;16090;
Andalucía;De 20 a 24 años;Inmigraciones ;Mujeres;16284;
Andalucía;De 25 a 29 años;Inmigraciones ;Hombres;22100;
Andalucía;De 25 a 29 años;Inmigraciones ;Mujeres;22865;
Andalucía;De 30 a 34 años;Inmigraciones ;Hombres;23871;
Andalucía;De 30 a 34 años;Inmigraciones ;Mujeres;23890;
Andalucía;De 35 a 39 años;Inmigraciones ;Hombres;21145;
Andalucía;De 35 a 39 años;Inmigraciones ;Mujeres;20595;
Andalucía;De 40 a 44 años;Inmigraciones ;Hombres;18791;
Andalucía;De 40 a 44 años;Inmigraciones ;Mujeres;17706;
Andalucía;De 45 a 49 años;Inmigraciones ;Hombres;15617;
Andalucía;De 45 a 49 años;Inmigraciones ;Mujeres;14334;
Andalucía;De 50 a 54 años;Inmigraciones ;Hombres;11985;
Andalucía;De 50 a 54 años;Inmigraciones ;Mujeres;11820;
Andalucía;De 55 a 59 años;Inmigraciones ;Hombres;9158;
Andalucía;De 55 a 59 años;Inmigraciones ;Mujeres;9276;
Andalucía;De 60 a 64 años;Inmigraciones ;Hombres;7304;
Andalucía;De 60 a 64 años;Inmigraciones ;Mujeres;7271;
Andalucía;De 65 y más años;Inmigraciones ;Hombres;15120;
Andalucía;De 65 y más años;Inmigraciones ;Mujeres;17218;
Andalucía;TOTAL;Inmigraciones ;Hombres;203171;
Andalucía;TOTAL;Inmigraciones ;Mujeres;200860;
Almería;De 0 a 4 años;Inmigraciones ;Hombres;1221;
Almería;De 0 a 4 años;Inmigraciones ;Mujeres;1132;
Almería;De 5 a 9 años;Inmigraciones ;Hombres;1203;
Almería;De 5 a 9 años;Inmigraciones ;Mujeres;1173;
Almería;De 10 a 14 años;Inmigraciones ;Hombres;1254;
Almería;De 10 a 14 años;Inmigraciones ;Mujeres;1177;
Almería;De 15 a 19 años;Inmigraciones ;Hombres;1561;
Almería;De 15 a 19 años;Inmigraciones ;Mujeres;1234;
Almería;De 20 a 24 años;Inmigraciones ;Hombres;2487;
Almería;De 20 a 24 años;Inmigraciones ;Mujeres;1802;
Almería;De 25 a 29 años;Inmigraciones ;Hombres;3253;
Almería;De 25 a 29 años;Inmigraciones ;Mujeres;2297;
Almería;De 30 a 34 años;Inmigraciones ;Hombres;3218;
Almería;De 30 a 34 años;Inmigraciones ;Mujeres;2489;
Almería;De 35 a 39 años;Inmigraciones ;Hombres;2808;
Almería;De 35 a 39 años;Inmigraciones ;Mujeres;2235;
Almería;De 40 a 44 años;Inmigraciones ;Hombres;2572;
Almería;De 40 a 44 años;Inmigraciones ;Mujeres;1971;
Almería;De 45 a 49 años;Inmigraciones ;Hombres;2205;
Almería;De 45 a 49 años;Inmigraciones ;Mujeres;1598;
Almería;De 50 a 54 años;Inmigraciones ;Hombres;1659;
Almería;De 50 a 54 años;Inmigraciones ;Mujeres;1318;
Almería;De 55 a 59 años;Inmigraciones ;Hombres;1173;
Almería;De 55 a 59 años;Inmigraciones ;Mujeres;1055;
Almería;De 60 a 64 años;Inmigraciones ;Hombres;971;
Almería;De 60 a 64 años;Inmigraciones ;Mujeres;852;
Almería;De 65 y más años;Inmigraciones ;Hombres;1884;
Almería;De 65 y más años;Inmigraciones ;Mujeres;1881;
Almería;TOTAL;Inmigraciones ;Hombres;27469;
Almería;TOTAL;Inmigraciones ;Mujeres;22214;
Abla;De 0 a 4 años;Inmigraciones ;Hombres;2;
Abla;De 0 a 4 años;Inmigraciones ;Mujeres;2;
Abla;De 5 a 9 años;Inmigraciones ;Hombres;4;
Abla;De 5 a 9 años;Inmigraciones ;Mujeres;7;
Abla;De 10 a 14 años;Inmigraciones ;Hombres;5;
Abla;De 10 a 14 años;Inmigraciones ;Mujeres;1;
Abla;De 15 a 19 años;Inmigraciones ;Hombres;2;
Abla;De 15 a 19 años;Inmigraciones ;Mujeres;3;
Abla;De 20 a 24 años;Inmigraciones ;Hombres;3;
Abla;De 20 a 24 años;Inmigraciones ;Mujeres;4;
Abla;De 25 a 29 años;Inmigraciones ;Hombres;4;
Abla;De 25 a 29 años;Inmigraciones ;Mujeres;4;
Abla;De 30 a 34 años;Inmigraciones ;Hombres;3;
Abla;De 30 a 34 años;Inmigraciones ;Mujeres;5;
Abla;De 35 a 39 años;Inmigraciones ;Hombres;3;
Abla;De 35 a 39 años;Inmigraciones ;Mujeres;5;
Abla;De 40 a 44 años;Inmigraciones ;Hombres;4;
Abla;De 40 a 44 años;Inmigraciones ;Mujeres;4;
Abla;De 45 a 49 años;Inmigraciones ;Hombres;4;
Abla;De 45 a 49 años;Inmigraciones ;Mujeres;7;
Abla;De 50 a 54 años;Inmigraciones ;Hombres;7;
Abla;De 50 a 54 años;Inmigraciones ;Mujeres;1;
Abla;De 55 a 59 años;Inmigraciones ;Hombres;-;
Abla;De 55 a 59 años;Inmigraciones ;Mujeres;2;
Abla;De 60 a 64 años;Inmigraciones ;Hombres;7;
Abla;De 60 a 64 años;Inmigraciones ;Mujeres;4;
Abla;De 65 y más años;Inmigraciones ;Hombres;8;
Abla;De 65 y más años;Inmigraciones ;Mujeres;10;
Abla;TOTAL;Inmigraciones ;Hombres;56;
Abla;TOTAL;Inmigraciones ;Mujeres;59;
Abrucena;De 0 a 4 años;Inmigraciones ;Hombres;1;
Abrucena;De 0 a 4 años;Inmigraciones ;Mujeres;3;
Abrucena;De 5 a 9 años;Inmigraciones ;Hombres;2;
Abrucena;De 5 a 9 años;Inmigraciones ;Mujeres;4;
Abrucena;De 10 a 14 años;Inmigraciones ;Hombres;3;
Abrucena;De 10 a 14 años;Inmigraciones ;Mujeres;1;
Abrucena;De 15 a 19 años;Inmigraciones ;Hombres;2;
Abrucena;De 15 a 19 años;Inmigraciones ;Mujeres;1;
Abrucena;De 20 a 24 años;Inmigraciones ;Hombres;3;
Abrucena;De 20 a 24 años;Inmigraciones ;Mujeres;4;
Abrucena;De 25 a 29 años;Inmigraciones ;Hombres;4;
Abrucena;De 25 a 29 años;Inmigraciones ;Mujeres;4;
Abrucena;De 30 a 34 años;Inmigraciones ;Hombres;4;
Abrucena;De 30 a 34 años;Inmigraciones ;Mujeres;6;
Abrucena;De 35 a 39 años;Inmigraciones ;Hombres;6;
Abrucena;De 35 a 39 años;Inmigraciones ;Mujeres;3;
Abrucena;De 40 a 44 años;Inmigraciones ;Hombres;4;
Abrucena;De 40 a 44 años;Inmigraciones ;Mujeres;2;
Abrucena;De 45 a 49 años;Inmigraciones ;Hombres;2;
Abrucena;De 45 a 49 años;Inmigraciones ;Mujeres;2;
Abrucena;De 50 a 54 años;Inmigraciones ;Hombres;4;
Abrucena;De 50 a 54 años;Inmigraciones ;Mujeres;4;
Abrucena;De 55 a 59 años;Inmigraciones ;Hombres;1;
Abrucena;De 55 a 59 años;Inmigraciones ;Mujeres;2;
Abrucena;De 60 a 64 años;Inmigraciones ;Hombres;3;
Abrucena;De 60 a 64 años;Inmigraciones ;Mujeres;2;
Abrucena;De 65 y más años;Inmigraciones ;Hombres;5;
Abrucena;De 65 y más años;Inmigraciones ;Mujeres;2;
Abrucena;TOTAL;Inmigraciones ;Hombres;44;
Abrucena;TOTAL;Inmigraciones ;Mujeres;40;
Adra;De 0 a 4 años;Inmigraciones ;Hombres;25;
Adra;De 0 a 4 años;Inmigraciones ;Mujeres;28;
Adra;De 5 a 9 años;Inmigraciones ;Hombres;14;
Adra;De 5 a 9 años;Inmigraciones ;Mujeres;31;
Adra;De 10 a 14 años;Inmigraciones ;Hombres;20;
Adra;De 10 a 14 años;Inmigraciones ;Mujeres;32;
Adra;De 15 a 19 años;Inmigraciones ;Hombres;30;
Adra;De 15 a 19 años;Inmigraciones ;Mujeres;22;
Adra;De 20 a 24 años;Inmigraciones ;Hombres;90;
Adra;De 20 a 24 años;Inmigraciones ;Mujeres;55;
Adra;De 25 a 29 años;Inmigraciones ;Hombres;96;
Adra;De 25 a 29 años;Inmigraciones ;Mujeres;50;
Adra;De 30 a 34 años;Inmigraciones ;Hombres;77;
Adra;De 30 a 34 años;Inmigraciones ;Mujeres;50;
