Territorio;Nacionalidad;Medida;Valor;
Andalucía;Española;Inmigraciones ;18235;
Andalucía;Extranjera;Inmigraciones ;137704;
Andalucía;Europa;Inmigraciones ;42502;
Andalucía;UE27;Inmigraciones ;28334;
Andalucía;Resto de Europa;Inmigraciones ;14168;
Andalucía;África;Inmigraciones ;31956;
Andalucía;África Norte;Inmigraciones ;25708;
Andalucía;Sub-Sahara;Inmigraciones ;1349;
Andalucía;Resto África;Inmigraciones ;4899;
Andalucía;América;Inmigraciones ;57773;
Andalucía;América Norte;Inmigraciones ;2410;
Andalucía;Central-Caribe;Inmigraciones ;10612;
Andalucía;América Sur;Inmigraciones ;44751;
Andalucía;Asia;Inmigraciones ;5304;
Andalucía;Próximo Oriente;Inmigraciones ;1269;
Andalucía;Resto Asia;Inmigraciones ;4035;
Andalucía;Oceanía;Inmigraciones ;169;
Andalucía;Apátridas;Inmigraciones ;68;
Andalucía;TOTAL;Inmigraciones ;156007;
Almería;Española;Inmigraciones ;1624;
Almería;Extranjera;Inmigraciones ;21352;
Almería;Europa;Inmigraciones ;5051;
Almería;UE27;Inmigraciones ;3470;
Almería;Resto de Europa;Inmigraciones ;1581;
Almería;África;Inmigraciones ;9563;
Almería;África Norte;Inmigraciones ;7092;
Almería;Sub-Sahara;Inmigraciones ;602;
Almería;Resto África;Inmigraciones ;1869;
Almería;América;Inmigraciones ;6371;
Almería;América Norte;Inmigraciones ;104;
Almería;Central-Caribe;Inmigraciones ;526;
Almería;América Sur;Inmigraciones ;5741;
Almería;Asia;Inmigraciones ;361;
Almería;Próximo Oriente;Inmigraciones ;40;
Almería;Resto Asia;Inmigraciones ;321;
Almería;Oceanía;Inmigraciones ;6;
Almería;Apátridas;Inmigraciones ;1;
Almería;TOTAL;Inmigraciones ;22977;
Abla;Española;Inmigraciones ;1;
Abla;Extranjera;Inmigraciones ;15;
Abla;Europa;Inmigraciones ;2;
Abla;UE27;Inmigraciones ;2;
Abla;Resto de Europa;Inmigraciones ;-;
Abla;África;Inmigraciones ;7;
Abla;África Norte;Inmigraciones ;7;
Abla;Sub-Sahara;Inmigraciones ;-;
Abla;Resto África;Inmigraciones ;-;
Abla;América;Inmigraciones ;6;
Abla;América Norte;Inmigraciones ;-;
Abla;Central-Caribe;Inmigraciones ;1;
Abla;América Sur;Inmigraciones ;5;
Abla;Asia;Inmigraciones ;-;
Abla;Próximo Oriente;Inmigraciones ;-;
Abla;Resto Asia;Inmigraciones ;-;
Abla;Oceanía;Inmigraciones ;-;
Abla;Apátridas;Inmigraciones ;-;
Abla;TOTAL;Inmigraciones ;16;
Abrucena;Española;Inmigraciones ;1;
Abrucena;Extranjera;Inmigraciones ;28;
Abrucena;Europa;Inmigraciones ;2;
Abrucena;UE27;Inmigraciones ;2;
Abrucena;Resto de Europa;Inmigraciones ;-;
Abrucena;África;Inmigraciones ;13;
Abrucena;África Norte;Inmigraciones ;11;
Abrucena;Sub-Sahara;Inmigraciones ;-;
Abrucena;Resto África;Inmigraciones ;2;
Abrucena;América;Inmigraciones ;13;
Abrucena;América Norte;Inmigraciones ;-;
Abrucena;Central-Caribe;Inmigraciones ;1;
Abrucena;América Sur;Inmigraciones ;12;
Abrucena;Asia;Inmigraciones ;-;
Abrucena;Próximo Oriente;Inmigraciones ;-;
Abrucena;Resto Asia;Inmigraciones ;-;
Abrucena;Oceanía;Inmigraciones ;-;
Abrucena;Apátridas;Inmigraciones ;-;
Abrucena;TOTAL;Inmigraciones ;29;
Adra;Española;Inmigraciones ;50;
Adra;Extranjera;Inmigraciones ;482;
Adra;Europa;Inmigraciones ;125;
Adra;UE27;Inmigraciones ;81;
Adra;Resto de Europa;Inmigraciones ;44;
Adra;África;Inmigraciones ;273;
Adra;África Norte;Inmigraciones ;244;
Adra;Sub-Sahara;Inmigraciones ;-;
Adra;Resto África;Inmigraciones ;29;
Adra;América;Inmigraciones ;79;
Adra;América Norte;Inmigraciones ;2;
Adra;Central-Caribe;Inmigraciones ;6;
Adra;América Sur;Inmigraciones ;71;
Adra;Asia;Inmigraciones ;5;
Adra;Próximo Oriente;Inmigraciones ;-;
Adra;Resto Asia;Inmigraciones ;5;
Adra;Oceanía;Inmigraciones ;-;
Adra;Apátridas;Inmigraciones ;-;
Adra;TOTAL;Inmigraciones ;532;
Albanchez;Española;Inmigraciones ;4;
Albanchez;Extranjera;Inmigraciones ;17;
Albanchez;Europa;Inmigraciones ;16;
Albanchez;UE27;Inmigraciones ;5;
Albanchez;Resto de Europa;Inmigraciones ;11;
Albanchez;África;Inmigraciones ;1;
Albanchez;África Norte;Inmigraciones ;1;
Albanchez;Sub-Sahara;Inmigraciones ;-;
Albanchez;Resto África;Inmigraciones ;-;
Albanchez;América;Inmigraciones ;-;
Albanchez;América Norte;Inmigraciones ;-;
Albanchez;Central-Caribe;Inmigraciones ;-;
Albanchez;América Sur;Inmigraciones ;-;
Albanchez;Asia;Inmigraciones ;-;
Albanchez;Próximo Oriente;Inmigraciones ;-;
Albanchez;Resto Asia;Inmigraciones ;-;
Albanchez;Oceanía;Inmigraciones ;-;
Albanchez;Apátridas;Inmigraciones ;-;
Albanchez;TOTAL;Inmigraciones ;21;
Alboloduy;Española;Inmigraciones ;1;
Alboloduy;Extranjera;Inmigraciones ;1;
Alboloduy;Europa;Inmigraciones ;-;
Alboloduy;UE27;Inmigraciones ;-;
Alboloduy;Resto de Europa;Inmigraciones ;-;
Alboloduy;África;Inmigraciones ;1;
Alboloduy;África Norte;Inmigraciones ;1;
Alboloduy;Sub-Sahara;Inmigraciones ;-;
Alboloduy;Resto África;Inmigraciones ;-;
Alboloduy;América;Inmigraciones ;-;
Alboloduy;América Norte;Inmigraciones ;-;
Alboloduy;Central-Caribe;Inmigraciones ;-;
Alboloduy;América Sur;Inmigraciones ;-;
Alboloduy;Asia;Inmigraciones ;-;
Alboloduy;Próximo Oriente;Inmigraciones ;-;
Alboloduy;Resto Asia;Inmigraciones ;-;
Alboloduy;Oceanía;Inmigraciones ;-;
Alboloduy;Apátridas;Inmigraciones ;-;
Alboloduy;TOTAL;Inmigraciones ;2;
Albox;Española;Inmigraciones ;43;
Albox;Extranjera;Inmigraciones ;475;
Albox;Europa;Inmigraciones ;142;
Albox;UE27;Inmigraciones ;75;
Albox;Resto de Europa;Inmigraciones ;67;
Albox;África;Inmigraciones ;41;
Albox;África Norte;Inmigraciones ;32;
Albox;Sub-Sahara;Inmigraciones ;-;
Albox;Resto África;Inmigraciones ;9;
Albox;América;Inmigraciones ;256;
Albox;América Norte;Inmigraciones ;2;
Albox;Central-Caribe;Inmigraciones ;7;
Albox;América Sur;Inmigraciones ;247;
Albox;Asia;Inmigraciones ;36;
Albox;Próximo Oriente;Inmigraciones ;-;
Albox;Resto Asia;Inmigraciones ;36;
Albox;Oceanía;Inmigraciones ;-;
Albox;Apátridas;Inmigraciones ;1;
Albox;TOTAL;Inmigraciones ;519;
Alcolea;Española;Inmigraciones ;3;
Alcolea;Extranjera;Inmigraciones ;12;
Alcolea;Europa;Inmigraciones ;1;
Alcolea;UE27;Inmigraciones ;1;
Alcolea;Resto de Europa;Inmigraciones ;-;
Alcolea;África;Inmigraciones ;1;
Alcolea;África Norte;Inmigraciones ;1;
Alcolea;Sub-Sahara;Inmigraciones ;-;
Alcolea;Resto África;Inmigraciones ;-;
Alcolea;América;Inmigraciones ;10;
Alcolea;América Norte;Inmigraciones ;-;
Alcolea;Central-Caribe;Inmigraciones ;-;
Alcolea;América Sur;Inmigraciones ;10;
Alcolea;Asia;Inmigraciones ;-;
Alcolea;Próximo Oriente;Inmigraciones ;-;
Alcolea;Resto Asia;Inmigraciones ;-;
Alcolea;Oceanía;Inmigraciones ;-;
Alcolea;Apátridas;Inmigraciones ;-;
Alcolea;TOTAL;Inmigraciones ;15;
Alcóntar;Española;Inmigraciones ;2;
Alcóntar;Extranjera;Inmigraciones ;8;
Alcóntar;Europa;Inmigraciones ;1;
Alcóntar;UE27;Inmigraciones ;-;
Alcóntar;Resto de Europa;Inmigraciones ;1;
Alcóntar;África;Inmigraciones ;2;
Alcóntar;África Norte;Inmigraciones ;1;
Alcóntar;Sub-Sahara;Inmigraciones ;-;
Alcóntar;Resto África;Inmigraciones ;1;
Alcóntar;América;Inmigraciones ;5;
Alcóntar;América Norte;Inmigraciones ;-;
Alcóntar;Central-Caribe;Inmigraciones ;3;
Alcóntar;América Sur;Inmigraciones ;2;
Alcóntar;Asia;Inmigraciones ;-;
Alcóntar;Próximo Oriente;Inmigraciones ;-;
Alcóntar;Resto Asia;Inmigraciones ;-;
Alcóntar;Oceanía;Inmigraciones ;-;
Alcóntar;Apátridas;Inmigraciones ;-;
Alcóntar;TOTAL;Inmigraciones ;10;
Alcudia de Monteagud;Española;Inmigraciones ;-;
Alcudia de Monteagud;Extranjera;Inmigraciones ;4;
Alcudia de Monteagud;Europa;Inmigraciones ;4;
Alcudia de Monteagud;UE27;Inmigraciones ;-;
Alcudia de Monteagud;Resto de Europa;Inmigraciones ;4;
Alcudia de Monteagud;África;Inmigraciones ;-;
Alcudia de Monteagud;África Norte;Inmigraciones ;-;
Alcudia de Monteagud;Sub-Sahara;Inmigraciones ;-;
Alcudia de Monteagud;Resto África;Inmigraciones ;-;
Alcudia de Monteagud;América;Inmigraciones ;-;
Alcudia de Monteagud;América Norte;Inmigraciones ;-;
Alcudia de Monteagud;Central-Caribe;Inmigraciones ;-;
Alcudia de Monteagud;América Sur;Inmigraciones ;-;
Alcudia de Monteagud;Asia;Inmigraciones ;-;
