Territorio;Tipo de instalación;Medida;Valor;
Almería;Campos de fútbol;Espacios deportivos;79;
Almería;Espacios pequeños y no reglamentarios;Espacios deportivos;242;
Almería;Frontones;Espacios deportivos;13;
Almería;Otros campos;Espacios deportivos;32;
Almería;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;5;
Almería;Polideportivos;Espacios deportivos;41;
Almería;Piscinas aire libre;Espacios deportivos;572;
Almería;Piscinas cubiertas;Espacios deportivos;31;
Almería;Pistas de atletismo;Espacios deportivos;10;
Almería;Pistas de padel;Espacios deportivos;47;
Almería;Pistas de petanca;Espacios deportivos;55;
Almería;Pistas de squash;Espacios deportivos;15;
Almería;Pistas de tenis;Espacios deportivos;136;
Almería;Pistas polideportivas;Espacios deportivos;560;
Almería;Salas;Espacios deportivos;270;
Almería;Velódromos;Espacios deportivos;-;
Almería;Otros espacios convencionales;Espacios deportivos;4;
Almería;Carriles de bicicleta;Espacios deportivos;-;
Almería;Circuitos de velocidad;Espacios deportivos;-;
Almería;Campos de golf;Espacios deportivos;11;
Almería;Pistas de hípica;Espacios deportivos;9;
Almería;Juegos tradicionales y populares;Espacios deportivos;1;
Almería;Circuitos de karting;Espacios deportivos;4;
Almería;Circuitos de motocross;Espacios deportivos;4;
Almería;Rocódromos;Espacios deportivos;-;
Almería;Pistas de esquí;Espacios deportivos;3;
Almería;Campos de tiro;Espacios deportivos;8;
Almería;Otros espacios singulares;Espacios deportivos;25;
Almería;Áreas de actividad acuática;Espacios deportivos;14;
Almería;Áreas de actividad aérea;Espacios deportivos;3;
Almería;Áreas de actividad terrestre;Espacios deportivos;36;
Almería;Total;Espacios deportivos;2230;
Abla;Campos de fútbol;Espacios deportivos;1;
Abla;Espacios pequeños y no reglamentarios;Espacios deportivos;2;
Abla;Frontones;Espacios deportivos;-;
Abla;Otros campos;Espacios deportivos;-;
Abla;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Abla;Polideportivos;Espacios deportivos;1;
Abla;Piscinas aire libre;Espacios deportivos;2;
Abla;Piscinas cubiertas;Espacios deportivos;-;
Abla;Pistas de atletismo;Espacios deportivos;-;
Abla;Pistas de padel;Espacios deportivos;-;
Abla;Pistas de petanca;Espacios deportivos;-;
Abla;Pistas de squash;Espacios deportivos;-;
Abla;Pistas de tenis;Espacios deportivos;-;
Abla;Pistas polideportivas;Espacios deportivos;2;
Abla;Salas;Espacios deportivos;1;
Abla;Velódromos;Espacios deportivos;-;
Abla;Otros espacios convencionales;Espacios deportivos;-;
Abla;Carriles de bicicleta;Espacios deportivos;-;
Abla;Circuitos de velocidad;Espacios deportivos;-;
Abla;Campos de golf;Espacios deportivos;-;
