Territorio;Medida;Valor;
Abla;Latitud;37,141333;
Abla;Longitud;-2,779552;
Abla;Altitud sobre el nivel del mar;843,47998047;
Abrucena;Latitud;37,133339;
Abrucena;Longitud;-2,7966;
Abrucena;Altitud sobre el nivel del mar;972,42999268;
Adra;Latitud;36,749285;
Adra;Longitud;-3,014555;
Adra;Altitud sobre el nivel del mar;4,13999987;
Albanchez;Latitud;37,287141;
Albanchez;Longitud;-2,181433;
Albanchez;Altitud sobre el nivel del mar;469,22000122;
Alboloduy;Latitud;37,032782;
Alboloduy;Longitud;-2,621786;
Alboloduy;Altitud sobre el nivel del mar;383,23999023;
Albox;Latitud;37,389533;
Albox;Longitud;-2,147988;
Albox;Altitud sobre el nivel del mar;424,22000122;
Alcolea;Latitud;36,974476;
Alcolea;Longitud;-2,960926;
Alcolea;Altitud sobre el nivel del mar;750,25;
Alcóntar;Latitud;37,335927;
Alcóntar;Longitud;-2,597479;
Alcóntar;Altitud sobre el nivel del mar;962,42999268;
Alcudia de Monteagud;Latitud;37,235984;
Alcudia de Monteagud;Longitud;-2,266242;
Alcudia de Monteagud;Altitud sobre el nivel del mar;1011,7199707;
Alhabia;Latitud;36,989457;
Alhabia;Longitud;-2,587275;
Alhabia;Altitud sobre el nivel del mar;287,86999512;
Alhama de Almería;Latitud;36,957265;
Alhama de Almería;Longitud;-2,570083;
Alhama de Almería;Altitud sobre el nivel del mar;517,5300293;
Alicún;Latitud;36,966198;
Alicún;Longitud;-2,602299;
Alicún;Altitud sobre el nivel del mar;420,98001099;
Almería (capital);Latitud;36,839804;
Almería (capital);Longitud;-2,467585;
Almería (capital);Altitud sobre el nivel del mar;20,46999931;
Almócita;Latitud;37,002779;
Almócita;Longitud;-2,790385;
Almócita;Altitud sobre el nivel del mar;832,66998291;
Alsodux;Latitud;37,001569;
Alsodux;Longitud;-2,594425;
Alsodux;Altitud sobre el nivel del mar;316,82998657;
Antas;Latitud;37,245247;
Antas;Longitud;-1,917422;
Antas;Altitud sobre el nivel del mar;104,95999908;
Arboleas;Latitud;37,350331;
Arboleas;Longitud;-2,074705;
Arboleas;Altitud sobre el nivel del mar;280,57000732;
Armuña de Almanzora;Latitud;37,350105;
Armuña de Almanzora;Longitud;-2,411407;
Armuña de Almanzora;Altitud sobre el nivel del mar;629,22998047;
Bacares;Latitud;37,260723;
Bacares;Longitud;-2,453265;
Bacares;Altitud sobre el nivel del mar;1190,16003418;
Balanegra;Latitud;36,748418;
Balanegra;Longitud;-2,906291;
Balanegra;Altitud sobre el nivel del mar;21,61000061;
Bayárcal;Latitud;37,029829;
Bayárcal;Longitud;-2,99507;
Bayárcal;Altitud sobre el nivel del mar;1254,93994141;
Bayarque;Latitud;37,330035;
Bayarque;Longitud;-2,436237;
Bayarque;Altitud sobre el nivel del mar;804,90997314;
Bédar;Latitud;37,18941;
Bédar;Longitud;-1,98197;
Bédar;Altitud sobre el nivel del mar;388,8500061;
Beires;Latitud;37,012205;
Beires;Longitud;-2,791411;
Beires;Altitud sobre el nivel del mar;929,90997314;
Benahadux;Latitud;36,92577;
Benahadux;Longitud;-2,455477;
Benahadux;Altitud sobre el nivel del mar;114,41999817;
