Territorio;Edad;Sexo;Medida;Valor;
Andalucía;De 0 a 15 años;Hombres;Población;678457;
Andalucía;De 0 a 15 años;Mujeres;Población;639704;
Andalucía;De 0 a 15 años;Ambos sexos;Población;1318161;
Andalucía;De 16 a 64 años;Hombres;Población;2859471;
Andalucía;De 16 a 64 años;Mujeres;Población;2841017;
Andalucía;De 16 a 64 años;Ambos sexos;Población;5700488;
Andalucía;De 65 y más años;Hombres;Población;711427;
Andalucía;De 65 y más años;Mujeres;Población;901786;
Andalucía;De 65 y más años;Ambos sexos;Población;1613213;
Andalucía;TOTAL;Hombres;Población;4249355;
Andalucía;TOTAL;Mujeres;Población;4382507;
Andalucía;TOTAL;Ambos sexos;Población;8631862;
Almería;De 0 a 15 años;Hombres;Población;67121;
Almería;De 0 a 15 años;Mujeres;Población;62807;
Almería;De 0 a 15 años;Ambos sexos;Población;129928;
Almería;De 16 a 64 años;Hombres;Población;266635;
Almería;De 16 a 64 años;Mujeres;Población;242925;
Almería;De 16 a 64 años;Ambos sexos;Población;509560;
Almería;De 65 y más años;Hombres;Población;55347;
Almería;De 65 y más años;Mujeres;Población;66129;
Almería;De 65 y más años;Ambos sexos;Población;121476;
Almería;TOTAL;Hombres;Población;389103;
Almería;TOTAL;Mujeres;Población;371861;
Almería;TOTAL;Ambos sexos;Población;760964;
Abla;De 0 a 15 años;Hombres;Población;82;
Abla;De 0 a 15 años;Mujeres;Población;67;
Abla;De 0 a 15 años;Ambos sexos;Población;149;
Abla;De 16 a 64 años;Hombres;Población;410;
Abla;De 16 a 64 años;Mujeres;Población;353;
Abla;De 16 a 64 años;Ambos sexos;Población;763;
Abla;De 65 y más años;Hombres;Población;166;
Abla;De 65 y más años;Mujeres;Población;199;
Abla;De 65 y más años;Ambos sexos;Población;365;
Abla;TOTAL;Hombres;Población;658;
Abla;TOTAL;Mujeres;Población;619;
Abla;TOTAL;Ambos sexos;Población;1277;
Abrucena;De 0 a 15 años;Hombres;Población;63;
Abrucena;De 0 a 15 años;Mujeres;Población;61;
Abrucena;De 0 a 15 años;Ambos sexos;Población;124;
Abrucena;De 16 a 64 años;Hombres;Población;409;
Abrucena;De 16 a 64 años;Mujeres;Población;333;
Abrucena;De 16 a 64 años;Ambos sexos;Población;742;
Abrucena;De 65 y más años;Hombres;Población;175;
Abrucena;De 65 y más años;Mujeres;Población;193;
Abrucena;De 65 y más años;Ambos sexos;Población;368;
Abrucena;TOTAL;Hombres;Población;647;
Abrucena;TOTAL;Mujeres;Población;587;
Abrucena;TOTAL;Ambos sexos;Población;1234;
Adra;De 0 a 15 años;Hombres;Población;2244;
Adra;De 0 a 15 años;Mujeres;Población;1976;
Adra;De 0 a 15 años;Ambos sexos;Población;4220;
Adra;De 16 a 64 años;Hombres;Población;8979;
Adra;De 16 a 64 años;Mujeres;Población;8213;
Adra;De 16 a 64 años;Ambos sexos;Población;17192;
Adra;De 65 y más años;Hombres;Población;1785;
Adra;De 65 y más años;Mujeres;Población;2235;
Adra;De 65 y más años;Ambos sexos;Población;4020;
Adra;TOTAL;Hombres;Población;13008;
Adra;TOTAL;Mujeres;Población;12424;
Adra;TOTAL;Ambos sexos;Población;25432;
Albanchez;De 0 a 15 años;Hombres;Población;22;
Albanchez;De 0 a 15 años;Mujeres;Población;29;
Albanchez;De 0 a 15 años;Ambos sexos;Población;51;
Albanchez;De 16 a 64 años;Hombres;Población;212;
Albanchez;De 16 a 64 años;Mujeres;Población;151;
Albanchez;De 16 a 64 años;Ambos sexos;Población;363;
Albanchez;De 65 y más años;Hombres;Población;131;
Albanchez;De 65 y más años;Mujeres;Población;136;
Albanchez;De 65 y más años;Ambos sexos;Población;267;
Albanchez;TOTAL;Hombres;Población;365;
Albanchez;TOTAL;Mujeres;Población;316;
Albanchez;TOTAL;Ambos sexos;Población;681;
Alboloduy;De 0 a 15 años;Hombres;Población;32;
Alboloduy;De 0 a 15 años;Mujeres;Población;33;
Alboloduy;De 0 a 15 años;Ambos sexos;Población;65;
Alboloduy;De 16 a 64 años;Hombres;Población;174;
Alboloduy;De 16 a 64 años;Mujeres;Población;159;
Alboloduy;De 16 a 64 años;Ambos sexos;Población;333;
Alboloduy;De 65 y más años;Hombres;Población;77;
Alboloduy;De 65 y más años;Mujeres;Población;108;
Alboloduy;De 65 y más años;Ambos sexos;Población;185;
Alboloduy;TOTAL;Hombres;Población;283;
Alboloduy;TOTAL;Mujeres;Población;300;
Alboloduy;TOTAL;Ambos sexos;Población;583;
Albox;De 0 a 15 años;Hombres;Población;1025;
Albox;De 0 a 15 años;Mujeres;Población;991;
Albox;De 0 a 15 años;Ambos sexos;Población;2016;
Albox;De 16 a 64 años;Hombres;Población;4180;
Albox;De 16 a 64 años;Mujeres;Población;3800;
Albox;De 16 a 64 años;Ambos sexos;Población;7980;
Albox;De 65 y más años;Hombres;Población;1192;
Albox;De 65 y más años;Mujeres;Población;1322;
Albox;De 65 y más años;Ambos sexos;Población;2514;
Albox;TOTAL;Hombres;Población;6397;
Albox;TOTAL;Mujeres;Población;6113;
Albox;TOTAL;Ambos sexos;Población;12510;
Alcolea;De 0 a 15 años;Hombres;Población;52;
Alcolea;De 0 a 15 años;Mujeres;Población;41;
Alcolea;De 0 a 15 años;Ambos sexos;Población;93;
Alcolea;De 16 a 64 años;Hombres;Población;267;
Alcolea;De 16 a 64 años;Mujeres;Población;261;
Alcolea;De 16 a 64 años;Ambos sexos;Población;528;
Alcolea;De 65 y más años;Hombres;Población;113;
Alcolea;De 65 y más años;Mujeres;Población;97;
Alcolea;De 65 y más años;Ambos sexos;Población;210;
Alcolea;TOTAL;Hombres;Población;432;
Alcolea;TOTAL;Mujeres;Población;399;
Alcolea;TOTAL;Ambos sexos;Población;831;
Alcóntar;De 0 a 15 años;Hombres;Población;22;
Alcóntar;De 0 a 15 años;Mujeres;Población;17;
Alcóntar;De 0 a 15 años;Ambos sexos;Población;39;
