Territorio;Medida;Valor;
Andalucía;Renta neta media por persona;11558;
Andalucía;Renta bruta media por persona;13736;
Andalucía;Renta neta media por hogar;29994;
Andalucía;Renta bruta media por hogar;35649;
Andalucía;Renta por unidad de consumo;17481;
Almería;Renta neta media por persona;10605;
Almería;Renta bruta media por persona;12531;
Almería;Renta neta media por hogar;28442;
Almería;Renta bruta media por hogar;33611;
Almería;Renta por unidad de consumo;16171;
Abla;Renta neta media por persona;11635;
Abla;Renta bruta media por persona;13304;
Abla;Renta neta media por hogar;25522;
Abla;Renta bruta media por hogar;29187;
Abla;Renta por unidad de consumo;16511;
Abrucena;Renta neta media por persona;10927;
Abrucena;Renta bruta media por persona;12361;
Abrucena;Renta neta media por hogar;22066;
Abrucena;Renta bruta media por hogar;24962;
Abrucena;Renta por unidad de consumo;15129;
Adra;Renta neta media por persona;9316;
Adra;Renta bruta media por persona;10650;
Adra;Renta neta media por hogar;25639;
Adra;Renta bruta media por hogar;29311;
Adra;Renta por unidad de consumo;14206;
Albanchez;Renta neta media por persona;10464;
Albanchez;Renta bruta media por persona;11884;
Albanchez;Renta neta media por hogar;21030;
Albanchez;Renta bruta media por hogar;23885;
Albanchez;Renta por unidad de consumo;14958;
Alboloduy;Renta neta media por persona;11054;
Alboloduy;Renta bruta media por persona;12457;
Alboloduy;Renta neta media por hogar;23237;
Alboloduy;Renta bruta media por hogar;26187;
Alboloduy;Renta por unidad de consumo;15436;
Albox;Renta neta media por persona;9761;
Albox;Renta bruta media por persona;11545;
Albox;Renta neta media por hogar;26991;
Albox;Renta bruta media por hogar;31924;
Albox;Renta por unidad de consumo;15267;
Alcolea;Renta neta media por persona;10103;
Alcolea;Renta bruta media por persona;11310;
Alcolea;Renta neta media por hogar;19494;
Alcolea;Renta bruta media por hogar;21823;
Alcolea;Renta por unidad de consumo;13757;
Alcóntar;Renta neta media por persona;12085;
Alcóntar;Renta bruta media por persona;14260;
Alcóntar;Renta neta media por hogar;27653;
Alcóntar;Renta bruta media por hogar;32627;
Alcóntar;Renta por unidad de consumo;17009;
Alcudia de Monteagud;Renta neta media por persona;14915;
Alcudia de Monteagud;Renta bruta media por persona;17553;
Alcudia de Monteagud;Renta neta media por hogar;27826;
Alcudia de Monteagud;Renta bruta media por hogar;32748;
Alcudia de Monteagud;Renta por unidad de consumo;20277;
Alhabia;Renta neta media por persona;9744;
Alhabia;Renta bruta media por persona;10893;
Alhabia;Renta neta media por hogar;20668;
Alhabia;Renta bruta media por hogar;23108;
Alhabia;Renta por unidad de consumo;13677;
Alhama de Almería;Renta neta media por persona;10007;
Alhama de Almería;Renta bruta media por persona;11416;
Alhama de Almería;Renta neta media por hogar;24886;
Alhama de Almería;Renta bruta media por hogar;28390;
Alhama de Almería;Renta por unidad de consumo;14919;
Alicún;Renta neta media por persona;11884;
Alicún;Renta bruta media por persona;13974;
Alicún;Renta neta media por hogar;24911;
Alicún;Renta bruta media por hogar;29293;
Alicún;Renta por unidad de consumo;16858;
Almería (capital);Renta neta media por persona;12478;
Almería (capital);Renta bruta media por persona;15092;
Almería (capital);Renta neta media por hogar;32883;
Almería (capital);Renta bruta media por hogar;39772;
Almería (capital);Renta por unidad de consumo;18810;
Almócita;Renta neta media por persona;12002;
Almócita;Renta bruta media por persona;14038;
Almócita;Renta neta media por hogar;24241;
Almócita;Renta bruta media por hogar;28351;
Almócita;Renta por unidad de consumo;16666;
Alsodux;Renta neta media por persona;13811;
Alsodux;Renta bruta media por persona;16209;
Alsodux;Renta neta media por hogar;27047;
Alsodux;Renta bruta media por hogar;31743;
Alsodux;Renta por unidad de consumo;19163;
Antas;Renta neta media por persona;10452;
Antas;Renta bruta media por persona;12205;
Antas;Renta neta media por hogar;27466;
Antas;Renta bruta media por hogar;32070;
Antas;Renta por unidad de consumo;15936;
Arboleas;Renta neta media por persona;8786;
Arboleas;Renta bruta media por persona;10016;
Arboleas;Renta neta media por hogar;19744;
Arboleas;Renta bruta media por hogar;22508;
Arboleas;Renta por unidad de consumo;13978;
Armuña de Almanzora;Renta neta media por persona;12868;
Armuña de Almanzora;Renta bruta media por persona;se;
Armuña de Almanzora;Renta neta media por hogar;26868;
Armuña de Almanzora;Renta bruta media por hogar;31160;
Armuña de Almanzora;Renta por unidad de consumo;18106;
Bacares;Renta neta media por persona;13109;
Bacares;Renta bruta media por persona;14903;
Bacares;Renta neta media por hogar;23026;
Bacares;Renta bruta media por hogar;26177;
Bacares;Renta por unidad de consumo;17122;
Balanegra;Renta neta media por persona;9418;
Balanegra;Renta bruta media por persona;10691;
Balanegra;Renta neta media por hogar;25658;
Balanegra;Renta bruta media por hogar;29130;
Balanegra;Renta por unidad de consumo;14249;
Bayárcal;Renta neta media por persona;10284;
Bayárcal;Renta bruta media por persona;11606;
Bayárcal;Renta neta media por hogar;22305;
Bayárcal;Renta bruta media por hogar;25173;
Bayárcal;Renta por unidad de consumo;14485;
Bayarque;Renta neta media por persona;12750;
Bayarque;Renta bruta media por persona;15033;
Bayarque;Renta neta media por hogar;24362;
Bayarque;Renta bruta media por hogar;28726;
Bayarque;Renta por unidad de consumo;17007;
Bédar;Renta neta media por persona;9786;
Bédar;Renta bruta media por persona;11227;
Bédar;Renta neta media por hogar;19813;
Bédar;Renta bruta media por hogar;22730;
Bédar;Renta por unidad de consumo;14424;
Beires;Renta neta media por persona;13093;
Beires;Renta bruta media por persona;14846;
Beires;Renta neta media por hogar;24339;
Beires;Renta bruta media por hogar;27598;
Beires;Renta por unidad de consumo;17333;
Benahadux;Renta neta media por persona;10172;
Benahadux;Renta bruta media por persona;11840;
Benahadux;Renta neta media por hogar;28501;
Benahadux;Renta bruta media por hogar;33174;
Benahadux;Renta por unidad de consumo;15880;
Benitagla;Renta neta media por persona;se;
Benitagla;Renta bruta media por persona;se;
Benitagla;Renta neta media por hogar;se;
Benitagla;Renta bruta media por hogar;se;
Benitagla;Renta por unidad de consumo;se;
Benizalón;Renta neta media por persona;11942;
Benizalón;Renta bruta media por persona;13630;
Benizalón;Renta neta media por hogar;20790;
Benizalón;Renta bruta media por hogar;23728;
Benizalón;Renta por unidad de consumo;15616;
Bentarique;Renta neta media por persona;10482;
Bentarique;Renta bruta media por persona;11682;
Bentarique;Renta neta media por hogar;20538;
Bentarique;Renta bruta media por hogar;22889;
Bentarique;Renta por unidad de consumo;14211;
Berja;Renta neta media por persona;9187;
Berja;Renta bruta media por persona;10440;
Berja;Renta neta media por hogar;24977;
Berja;Renta bruta media por hogar;28384;
Berja;Renta por unidad de consumo;13965;
Canjáyar;Renta neta media por persona;10503;
Canjáyar;Renta bruta media por persona;11676;
Canjáyar;Renta neta media por hogar;20730;
Canjáyar;Renta bruta media por hogar;23047;
Canjáyar;Renta por unidad de consumo;14384;
Cantoria;Renta neta media por persona;10034;
Cantoria;Renta bruta media por persona;11551;
Cantoria;Renta neta media por hogar;24003;
Cantoria;Renta bruta media por hogar;27633;
Cantoria;Renta por unidad de consumo;15168;
Carboneras;Renta neta media por persona;11494;
Carboneras;Renta bruta media por persona;13652;
Carboneras;Renta neta media por hogar;29551;
Carboneras;Renta bruta media por hogar;35098;
Carboneras;Renta por unidad de consumo;17444;
Castro de Filabres;Renta neta media por persona;14109;
Castro de Filabres;Renta bruta media por persona;16321;
Castro de Filabres;Renta neta media por hogar;25396;
Castro de Filabres;Renta bruta media por hogar;29379;
Castro de Filabres;Renta por unidad de consumo;18356;
Chercos;Renta neta media por persona;10120;
Chercos;Renta bruta media por persona;11425;
Chercos;Renta neta media por hogar;23132;
Chercos;Renta bruta media por hogar;26115;
Chercos;Renta por unidad de consumo;14406;
Chirivel;Renta neta media por persona;10694;
Chirivel;Renta bruta media por persona;12199;
Chirivel;Renta neta media por hogar;22049;
Chirivel;Renta bruta media por hogar;25153;
Chirivel;Renta por unidad de consumo;15359;
Cóbdar;Renta neta media por persona;12445;
Cóbdar;Renta bruta media por persona;14413;
