Territorio;Sexo;Medida;Valor;
Cádiz;Ambos sexos;Población;1258730;
Cádiz;Hombres;Población;619543;
Cádiz;Mujeres;Población;639187;
Alcalá de los Gazules;Ambos sexos;Población;5231;
Alcalá de los Gazules;Hombres;Población;2689;
Alcalá de los Gazules;Mujeres;Población;2542;
E. singular Alcalá de los Gazules;Ambos sexos;Población;5231;
E. singular Alcalá de los Gazules;Hombres;Población;2689;
E. singular Alcalá de los Gazules;Mujeres;Población;2542;
Núcleo Alcalá de los Gazules;Ambos sexos;Población;4912;
Núcleo Alcalá de los Gazules;Hombres;Población;2512;
Núcleo Alcalá de los Gazules;Mujeres;Población;2400;
Diseminado de Alcalá de los Gazules;Ambos sexos;Población;319;
Diseminado de Alcalá de los Gazules;Hombres;Población;177;
Diseminado de Alcalá de los Gazules;Mujeres;Población;142;
Alcalá del Valle;Ambos sexos;Población;4932;
Alcalá del Valle;Hombres;Población;2484;
Alcalá del Valle;Mujeres;Población;2448;
E. singular Alcalá del Valle;Ambos sexos;Población;4932;
E. singular Alcalá del Valle;Hombres;Población;2484;
E. singular Alcalá del Valle;Mujeres;Población;2448;
Núcleo Alcalá del Valle;Ambos sexos;Población;4900;
Núcleo Alcalá del Valle;Hombres;Población;2466;
Núcleo Alcalá del Valle;Mujeres;Población;2434;
Diseminado de Alcalá del Valle;Ambos sexos;Población;32;
Diseminado de Alcalá del Valle;Hombres;Población;18;
Diseminado de Alcalá del Valle;Mujeres;Población;14;
Algar;Ambos sexos;Población;1445;
Algar;Hombres;Población;726;
Algar;Mujeres;Población;719;
E. singular Algar;Ambos sexos;Población;1445;
E. singular Algar;Hombres;Población;726;
E. singular Algar;Mujeres;Población;719;
Núcleo Algar;Ambos sexos;Población;1286;
Núcleo Algar;Hombres;Población;641;
Núcleo Algar;Mujeres;Población;645;
Diseminado de Algar;Ambos sexos;Población;159;
Diseminado de Algar;Hombres;Población;85;
Diseminado de Algar;Mujeres;Población;74;
Algeciras;Ambos sexos;Población;125047;
Algeciras;Hombres;Población;61554;
Algeciras;Mujeres;Población;63493;
